,loss,accuracy,val_loss,val_accuracy
1543,0.01976795122027397,0.9940314888954163,0.07142544537782669,0.9772234559059143
1544,0.025860227644443512,0.9899620413780212,0.019810600206255913,0.9967461824417114
1545,0.025194963440299034,0.9894194006919861,0.08290309458971024,0.9761388301849365
1546,0.02037447690963745,0.9943027496337891,0.03467760980129242,0.9913232326507568
1547,0.016055500134825706,0.9943027496337891,0.008619311265647411,0.9967461824417114
1548,0.013868384063243866,0.9964731335639954,0.015316524542868137,0.9945769906044006
1549,0.013368356041610241,0.9962018728256226,0.03324154391884804,0.9880694150924683
1550,0.009714162908494473,0.9967444539070129,0.019719097763299942,0.9934924244880676
1551,0.014019747264683247,0.9945740699768066,0.02542412094771862,0.9934924244880676
1552,0.021872879937291145,0.9932175874710083,0.019896525889635086,0.9945769906044006
1553,0.007707375567406416,0.9978296160697937,0.03338594362139702,0.9869847893714905
1554,0.021121885627508163,0.9948453903198242,0.016492825001478195,0.9934924244880676
1555,0.014941363595426083,0.9948453903198242,0.04371209815144539,0.9848155975341797
1556,0.008086390793323517,0.9970157146453857,0.019507914781570435,0.9956616163253784
1557,0.008266742341220379,0.9962018728256226,0.04132438451051712,0.9880694150924683
1558,0.017248038202524185,0.9934888482093811,0.04204781353473663,0.9859002232551575
1559,0.019583886489272118,0.9945740699768066,0.12485865503549576,0.9652928709983826
1560,0.0424022451043129,0.9872490763664246,0.08215626329183578,0.9707158207893372
1561,0.02283390611410141,0.9924036860466003,0.05911916866898537,0.9869847893714905
1562,0.027119630947709084,0.9907758831977844,0.05891288071870804,0.9837310314178467
1563,0.023779070004820824,0.9921323657035828,0.048218369483947754,0.9859002232551575
1564,0.016108280047774315,0.9934888482093811,0.03253646567463875,0.9924077987670898
1565,0.030003122985363007,0.9894194006919861,0.13106760382652283,0.9750542044639587
1566,0.0329161174595356,0.9888768196105957,0.1339244544506073,0.9587852358818054
1567,0.022198300808668137,0.9934888482093811,0.030126694589853287,0.9913232326507568
1568,0.02049352414906025,0.991047203540802,0.13742107152938843,0.9609544277191162
1569,0.015802107751369476,0.9945740699768066,0.05258595943450928,0.9815618395805359
1570,0.011295564472675323,0.9953879714012146,0.026602396741509438,0.9934924244880676
1571,0.010525963269174099,0.9975583553314209,0.05854887142777443,0.9869847893714905
1572,0.020363451912999153,0.9934888482093811,0.019904138520359993,0.9924077987670898
1573,0.016090743243694305,0.995116651058197,0.012999473139643669,0.9956616163253784
1574,0.02017771452665329,0.9937601685523987,0.041997477412223816,0.9869847893714905
1575,0.01765001006424427,0.9940314888954163,0.04272541031241417,0.9837310314178467
1576,0.013311759568750858,0.9962018728256226,0.14218993484973907,0.962039053440094
1577,0.011508258990943432,0.9956592321395874,0.017213249579072,0.9924077987670898
1578,0.016833867877721786,0.9940314888954163,0.06438243389129639,0.9848155975341797
1579,0.031309034675359726,0.9899620413780212,0.1480959951877594,0.9642082452774048
1580,0.02412053942680359,0.9915897846221924,0.03608618304133415,0.9869847893714905
1581,0.02611367590725422,0.99186110496521,0.35528507828712463,0.9099783301353455
1582,0.013099536299705505,0.995116651058197,0.017072122544050217,0.9924077987670898
1583,0.016959117725491524,0.9934888482093811,0.0381026417016983,0.9924077987670898
1584,0.013689574785530567,0.9953879714012146,0.03339986503124237,0.9880694150924683
1585,0.022917645052075386,0.9932175874710083,0.046023890376091,0.9859002232551575
1586,0.018576426431536674,0.9940314888954163,0.06057121232151985,0.9837310314178467
1587,0.010725021362304688,0.9953879714012146,0.08007729053497314,0.9815618395805359
1588,0.013702991418540478,0.995116651058197,0.05422813072800636,0.9783080220222473
1589,0.027710149064660072,0.9915897846221924,0.18968769907951355,0.9566160440444946
1590,0.028440644964575768,0.9905046224594116,0.0750899463891983,0.9750542044639587
1591,0.01903073862195015,0.9924036860466003,0.040779199451208115,0.9913232326507568
1592,0.01241554506123066,0.9953879714012146,0.022018151357769966,0.9934924244880676
1593,0.019321933388710022,0.9934888482093811,0.02151019684970379,0.9913232326507568
1594,0.012171939946711063,0.9953879714012146,0.035372912883758545,0.9869847893714905
1595,0.01901860348880291,0.9932175874710083,0.09723382443189621,0.972885012626648
1596,0.02098565176129341,0.9899620413780212,0.10188799351453781,0.9674620628356934
1597,0.032647907733917236,0.9905046224594116,0.08016948401927948,0.9826464056968689
1598,0.030100705102086067,0.9907758831977844,0.06616847962141037,0.9826464056968689
1599,0.03027336299419403,0.991047203540802,0.031380556523799896,0.9880694150924683
1600,0.028908181935548782,0.9891481399536133,0.10459599643945694,0.972885012626648
1601,0.03249966725707054,0.9891481399536133,0.24969619512557983,0.9360086917877197
1602,0.03126123175024986,0.9891481399536133,0.08044365793466568,0.9761388301849365
1603,0.024070188403129578,0.9921323657035828,0.1275787204504013,0.9663774371147156
1604,0.02135193534195423,0.9921323657035828,0.015104910358786583,0.9967461824417114
1605,0.009270629845559597,0.9967444539070129,0.01633160002529621,0.9945769906044006
1606,0.015623281709849834,0.9948453903198242,0.011469369754195213,0.9978308081626892
1607,0.008680867031216621,0.9964731335639954,0.0071448287926614285,0.9956616163253784
1608,0.01691894792020321,0.9940314888954163,0.06499359011650085,0.9880694150924683
1609,0.015410847030580044,0.995116651058197,0.032150834798812866,0.9913232326507568
1610,0.015928033739328384,0.9943027496337891,0.054063830524683,0.9859002232551575
1611,0.016943875700235367,0.9940314888954163,0.044263385236263275,0.9859002232551575
1612,0.020803524181246758,0.99186110496521,0.01575612649321556,0.9924077987670898
1613,0.021564552560448647,0.9932175874710083,0.032213278114795685,0.9913232326507568
1614,0.04246656596660614,0.9899620413780212,0.06982825696468353,0.9837310314178467
1615,0.030250344425439835,0.9894194006919861,0.015091771259903908,0.990238606929779
1616,0.017070582136511803,0.9937601685523987,0.009085087105631828,0.9967461824417114
1617,0.01616293005645275,0.9940314888954163,0.12466799467802048,0.963123619556427
1618,0.014118853025138378,0.9953879714012146,0.045032162219285965,0.9869847893714905
1619,0.017692437395453453,0.9956592321395874,0.05425950139760971,0.9804772138595581
1620,0.02152319625020027,0.9913185238838196,0.03388051688671112,0.990238606929779
1621,0.018197093158960342,0.9937601685523987,0.13582782447338104,0.9674620628356934
1622,0.026465680450201035,0.9899620413780212,0.06220012158155441,0.9783080220222473
1623,0.02604447491466999,0.991047203540802,0.0506405271589756,0.9837310314178467
